Date,General and acute beds occupied by COVID-19 case,General and acute beds occupied by non-COVID-19 case,General and acute beds occupied,Vacant general and acute beds ,General and acute beds available,Invasive ventilated bed occupied,Vacant invasive ventilated beds,Invasive ventilated beds available
01-Apr-20,93,656,749,499,1248,19,25,44
02-Apr-20,68,610,678,572,1250,27,17,44
03-Apr-20,83,596,679,569,1248,27,19,46
04-Apr-20,89,600,689,556,1245,35,21,56
05-Apr-20,98,722,820,336,1156,30,27,57
06-Apr-20,98,715,813,346,1159,26,30,56
07-Apr-20,103,615,718,525,1243,29,30,59
08-Apr-20,115,551,666,580,1246,32,30,62
09-Apr-20,124,536,660,580,1240,32,30,62
10-Apr-20,135,513,648,588,1236,34,28,62
11-Apr-20,139,530,669,567,1236,27,35,62
12-Apr-20,156,541,697,539,1236,29,33,62
13-Apr-20,143,542,685,551,1236,29,33,62
14-Apr-20,164,530,694,527,1221,24,38,62
15-Apr-20,165,545,710,521,1231,23,39,62
16-Apr-20,169,490,659,583,1242,23,39,62
17-Apr-20,193,487,680,557,1237,27,35,62
18-Apr-20,221,517,738,497,1235,34,28,62
19-Apr-20,208,535,743,492,1235,32,30,62
20 Apr 2020 (1),201,575,776,460,1236,24,38,62
21-Apr-20,178,549,727,477,1204,25,41,66
22-Apr-20,194,533,727,477,1204,22,44,66
23 Apr 2020 (2),273,811,1084,657,1741,25,41,66
24-Apr-20,257,852,1109,635,1744,26,40,66
25-Apr-20,264,844,1108,604,1712,33,33,66
26-Apr-20,282,850,1132,612,1744,30,36,66
27-Apr-20,282,861,1143,590,1733,27,39,66
28-Apr-20,299,841,1140,609,1749,21,45,66
29-Apr-20,283,854,1137,613,1750,27,39,66
30-Apr-20,283,838,1121,631,1752,35,26,61
01-May-20,291,851,1142,610,1752,32,29,61
02-May-20,287,864,1151,593,1744,31,30,61
03-May-20,288,846,1134,607,1741,29,37,66
04-May-20,281,954,1235,512,1747,31,35,66
05-May-20,283,927,1210,542,1752,26,40,66
06-May-20,295,860,1155,599,1754,25,41,66
07-May-20,344,894,1238,507,1745,30,36,66
08-May-20,376,890,1266,501,1767,26,40,66
09-May-20,348,916,1264,509,1773,22,44,66
10-May-20,326,921,1247,534,1781,26,40,66
11-May-20,300,962,1262,503,1765,26,40,66
12-May-20,309,943,1252,524,1776,25,41,66
13-May-20,258,857,1115,520,1635,24,42,66
14-May-20,295,913,1208,561,1769,22,44,66
15-May-20,310,893,1203,568,1771,23,43,66
16-May-20,311,929,1240,529,1769,39,27,66
17-May-20,322,931,1253,512,1765,32,34,66
18-May-20,304,967,1271,542,1813,30,36,66
19-May-20,328,970,1298,508,1806,28,34,62
20-May-20,316,927,1243,557,1800,22,39,61
21-May-20,315,930,1245,572,1817,28,33,61
22-May-20,318,940,1258,554,1812,25,36,61
23-May-20,340,955,1295,511,1806,23,43,66
24-May-20,301,981,1282,523,1805,20,41,61
25-May-20,290,1003,1293,517,1810,22,37,59
26 May 2020 (3),301,999,1300,480,1780,23,36,59
27-May-20,291,1027,1318,468,1786,26,36,62
28-May-20,317,1030,1347,467,1814,23,37,60
29-May-20,300,1058,1358,423,1781,23,37,60
30-May-20,319,990,1309,468,1777,26,35,61
31-May-20,304,987,1291,495,1786,30,36,66
1 Jun 2020 (4),308,1013,1321,476,1797,24,34,58
02-Jun-20,338,1059,1397,389,1786,24,37,61
03-Jun-20,314,1109,1423,374,1797,26,35,61
4 Jun 2020 (5),356,1076,1432,359,1791,24,37,61
05-Jun-20,352,1036,1388,396,1784,26,35,61
06-Jun-20,351,997,1348,439,1787,24,33,57
07-Jun-20,293,1029,1322,457,1779,24,33,57
08-Jun-20,284,1091,1375,414,1789,23,34,57
09-Jun-20,295,1091,1386,389,1775,23,35,58
10-Jun-20,294,1106,1400,370,1770,29,29,58
11-Jun-20,286,1123,1409,359,1768,27,30,57
12-Jun-20,300,1072,1372,407,1779,28,29,57
13-Jun-20,297,1069,1366,420,1786,23,38,61
14-Jun-20,279,1072,1351,423,1774,23,38,61
15-Jun-20,267,1107,1374,401,1775,27,30,57
16-Jun-20,273,1115,1388,381,1769,27,30,57
17-Jun-20,272,1158,1430,345,1775,25,32,57
18-Jun-20,250,1154,1404,334,1738,26,31,57
19-Jun-20,258,1165,1423,352,1775,25,32,57
20-Jun-20,230,1218,1448,314,1762,25,32,57
21-Jun-20,244,1174,1418,334,1752,26,31,57
22-Jun-20,240,1194,1434,325,1759,24,33,57
23-Jun-20,229,1240,1469,293,1762,22,35,57
24-Jun-20,218,1204,1422,354,1776,26,31,57
25-Jun-20,223,1236,1459,321,1780,27,30,57
26-Jun-20,219,1235,1454,326,1780,24,33,57
27-Jun-20,217,1238,1455,325,1780,22,35,57
28-Jun-20,227,1274,1501,278,1779,21,36,57
29-Jun-20,214,1268,1482,307,1789,24,33,57
30-Jun-20,200,1258,1458,328,1786,21,36,57
01-Jul-20,194,1315,1509,283,1792,21,36,57
02-Jul-20,189,1313,1502,288,1790,29,28,57
03-Jul-20,190,1258,1448,330,1778,32,16,48
04-Jul-20,185,1221,1406,391,1797,28,20,48
05-Jul-20,186,1254,1440,358,1798,28,20,48
06-Jul-20,167,1328,1495,306,1801,28,20,48
07-Jul-20,183,1284,1467,334,1801,26,22,48
08-Jul-20,172,1324,1496,314,1810,28,29,57
09-Jul-20,175,1329,1504,303,1807,28,29,57
10 Jul 2020 (6),156,1515,1671,332,2003,35,29,64
11-Jul-20,152,1516,1668,335,2003,27,30,57
12-Jul-20,165,1559,1724,281,2005,24,33,57
13-Jul-20,164,1581,1745,275,2020,25,32,57
14-Jul-20,162,1558,1720,301,2021,23,34,57
15-Jul-20,165,1569,1734,284,2018,26,35,61
16-Jul-20,153,1569,1722,291,2013,29,32,61
17-Jul-20,142,1526,1668,339,2007,26,31,57
18-Jul-20,157,1531,1688,318,2006,24,33,57
19-Jul-20,142,1546,1688,327,2015,22,35,57
20-Jul-20,145,1579,1724,289,2013,25,32,57
21-Jul-20,155,1580,1735,284,2019,24,33,57
22-Jul-20,157,1586,1743,266,2009,25,32,57
23-Jul-20,164,1534,1698,315,2013,32,25,57
24-Jul-20,161,1571,1732,274,2006,27,29,56
25-Jul-20,183,1525,1708,289,1997,27,29,56
26-Jul-20,172,1555,1727,276,2003,26,30,56
27-Jul-20,177,1593,1770,244,2014,29,28,57
28-Jul-20,198,1526,1724,250,1974,31,26,57
29-Jul-20,190,1450,1640,288,1928,28,29,57
30-Jul-20,183,1424,1607,304,1911,27,30,57
31-Jul-20,162,1422,1584,309,1893,25,31,56
01-Aug-20,165,1504,1669,247,1916,27,30,57
02-Aug-20,168,1533,1701,218,1919,28,29,57
03-Aug-20,187,1493,1680,240,1920,25,31,56
04-Aug-20,178,1450,1628,276,1904,21,29,50
05-Aug-20,183,1401,1584,313,1897,27,22,49
06-Aug-20,179,1455,1634,266,1900,25,24,49
07-Aug-20,147,1477,1624,280,1904,23,26,49
08-Aug-20,128,1501,1629,252,1881,20,28,48
09-Aug-20,132,1521,1653,249,1902,21,29,50
10-Aug-20,124,1491,1615,294,1909,23,26,49
11-Aug-20,90,1527,1617,275,1892,22,27,49
12-Aug-20,120,1487,1607,309,1916,27,22,49
13-Aug-20,122,1497,1619,293,1912,27,22,49
14-Aug-20,102,1490,1592,317,1909,25,24,49
15-Aug-20,95,1513,1608,282,1890,23,26,49
16-Aug-20,91,1552,1643,242,1885,24,25,49
17-Aug-20,113,1563,1676,224,1900,26,23,49
18-Aug-20,102,1559,1661,239,1900,24,25,49
19-Aug-20,112,1540,1652,231,1883,25,24,49
20-Aug-20,95,1524,1619,259,1878,23,26,49
21-Aug-20,79,1545,1624,265,1889,24,25,49
22-Aug-20,108,1519,1627,269,1896,27,22,49
23-Aug-20,101,1586,1687,209,1896,24,25,49
24-Aug-20,91,1551,1642,246,1888,26,23,49
25-Aug-20,93,1548,1641,266,1907,26,23,49
26-Aug-20,98,1496,1594,305,1899,25,24,49
27-Aug-20,82,1492,1574,318,1892,26,23,49
28-Aug-20,104,1488,1592,313,1905,27,22,49
29-Aug-20,79,1553,1632,275,1907,26,23,49
30-Aug-20,74,1555,1629,278,1907,28,21,49
31-Aug-20,73,1575,1648,266,1914,26,23,49
01-Sep-20,71,1600,1671,247,1918,25,25,50
02-Sep-20,75,1599,1674,245,1919,28,22,50
03-Sep-20,71,1504,1575,344,1919,21,29,50
04-Sep-20,66,1515,1581,339,1920,27,23,50
05-Sep-20,68,1558,1626,260,1886,26,24,50
06-Sep-20,70,1607,1677,226,1903,27,23,50
07-Sep-20,81,1591,1672,236,1908,25,25,50
08-Sep-20,74,1577,1651,257,1908,30,20,50
09-Sep-20,75,1606,1681,229,1910,31,18,49
10-Sep-20,100,1574,1674,231,1905,29,20,49
11-Sep-20,106,1545,1651,249,1900,25,24,49
12-Sep-20,80,1570,1650,250,1900,23,26,49
13-Sep-20,30,1633,1663,230,1893,21,28,49
14-Sep-20,74,1582,1656,261,1917,20,29,49
15-Sep-20,67,1572,1639,269,1908,18,31,49
16-Sep-20,95,1509,1604,288,1892,24,25,49
17-Sep-20,75,1529,1604,289,1893,23,26,49
18-Sep-20,72,1565,1637,242,1879,29,20,49
19-Sep-20,78,1552,1630,275,1905,30,19,49
20-Sep-20,94,1554,1648,257,1905,31,18,49
21-Sep-20,88,1602,1690,206,1896,27,22,49
22-Sep-20,108,1516,1624,274,1898,24,25,49
23-Sep-20,93,1561,1654,244,1898,26,23,49
24-Sep-20,89,1564,1653,233,1886,28,21,49
25-Sep-20,93,1554,1647,257,1904,25,24,49
26-Sep-20,93,1537,1630,269,1899,31,18,49
27-Sep-20,64,1577,1641,258,1899,29,20,49
28-Sep-20,54,1664,1718,182,1900,29,20,49
29-Sep-20,54,1643,1697,211,1908,31,18,49
30-Sep-20,58,1574,1632,275,1907,26,23,49
01-Oct-20,73,1548,1621,272,1893,28,21,49
02-Oct-20,65,1542,1607,273,1880,29,20,49
03-Oct-20,78,1539,1617,257,1874,28,21,49
04-Oct-20,85,1558,1643,229,1872,28,21,49
05-Oct-20,67,1608,1675,188,1863,30,19,49
06-Oct-20,73,1554,1627,261,1888,31,17,48
07-Oct-20,80,1594,1674,225,1899,36,13,49
08-Oct-20,76,1589,1665,230,1895,37,12,49
09-Oct-20,75,1591,1666,254,1920,34,15,49
10-Oct-20,100,1554,1654,256,1910,27,20,47
11-Oct-20,89,1559,1648,266,1914,29,18,47
12-Oct-20,79,1621,1700,215,1915,27,20,47
13-Oct-20,84,1596,1680,233,1913,28,19,47
14-Oct-20,115,1521,1636,271,1907,28,19,47
15-Oct-20,106,1514,1620,287,1907,28,19,47
16-Oct-20,87,1517,1604,322,1926,31,14,45
17-Oct-20,87,1502,1589,337,1926,30,6,36
18-Oct-20,102,1519,1621,305,1926,28,13,41
19-Oct 2020 (7),119,1540,1659,205,1864,28,14,42
20-Oct-20,140,1509,1649,214,1863,25,18,43
21-Oct-20,136,1555,1691,185,1876,17,26,43
22-Oct-20,109,1595,1704,173,1877,27,16,43
23-Oct-20,102,1590,1692,170,1862,26,17,43
24-Oct-20,120,1531,1651,202,1853,29,14,43
25-Oct-20,112,1531,1643,230,1873,28,15,43
26-Oct-20,110,1567,1677,197,1874,31,12,43
27-Oct-20,106,1578,1684,238,1922,31,12,43
