Date,General and acute beds occupied by COVID-19 case,General and acute beds occupied by non-COVID-19 case,General and acute beds occupied,Vacant general and acute beds,General and acute beds available,Invasive ventilated bed occupied,Vacant invasive ventilated beds,Invasive ventilated beds available
01-Apr-20,68,312,380,445,825,14,32,46
02-Apr-20,70,313,383,449,832,10,36,46
03-Apr-20,77,285,362,463,825,9,37,46
04-Apr-20,62,103,165,648,813,8,35,43
05-Apr-20,73,141,214,594,808,8,35,43
06-Apr-20,85,218,303,525,828,8,34,42
07-Apr-20,84,270,354,498,852,8,38,46
08-Apr-20,87,272,359,478,837,9,37,46
09-Apr-20,90,266,356,480,836,8,38,46
10-Apr-20,105,274,379,443,822,9,37,46
11-Apr-20,104,285,389,433,822,10,36,46
12-Apr-20,101,263,364,458,822,9,37,46
13-Apr-20,96,255,351,471,822,12,34,46
14-Apr-20,95,231,326,516,842,11,35,46
15-Apr-20,96,279,375,455,830,11,35,46
16-Apr-20,103,258,361,499,860,10,36,46
17-Apr-20,105,281,386,445,831,13,33,46
18-Apr-20,103,290,393,460,853,10,36,46
19-Apr-20,98,296,394,459,853,9,37,46
20 Apr 2020 (1),109,285,394,443,837,11,35,46
21-Apr-20,96,277,373,459,832,5,39,44
22-Apr-20,104,273,377,467,844,6,28,34
23 Apr 2020 (2),93,349,442,540,982,7,27,34
24-Apr-20,99,332,431,559,990,7,18,25
25-Apr-20,88,331,419,571,990,10,15,25
26-Apr-20,78,333,411,579,990,12,13,25
27-Apr-20,79,388,467,451,918,12,13,25
28-Apr-20,82,373,455,505,960,14,11,25
29-Apr-20,88,370,458,470,928,14,11,25
30-Apr-20,95,375,470,458,928,14,11,25
01-May-20,80,381,461,418,879,13,12,25
02-May-20,82,380,462,417,879,12,13,25
03-May-20,84,400,484,395,879,12,13,25
04-May-20,84,469,553,372,925,9,16,25
05-May-20,85,459,544,381,925,11,14,25
06-May-20,72,456,528,396,924,12,13,25
07-May-20,69,479,548,379,927,12,13,25
08-May-20,78,417,495,419,914,11,14,25
09-May-20,76,409,485,435,920,9,16,25
10-May-20,74,414,488,436,924,10,15,25
11-May-20,77,495,572,355,927,12,14,26
12-May-20,78,505,583,381,964,12,14,26
13-May-20,65,508,573,390,963,12,13,25
14-May-20,56,514,570,343,913,13,13,26
15-May-20,51,542,593,318,911,12,13,25
16-May-20,41,539,580,312,892,10,15,25
17-May-20,46,523,569,323,892,10,15,25
18-May-20,46,533,579,328,907,12,13,25
19-May-20,46,526,572,324,896,11,14,25
20-May-20,35,531,566,328,894,11,14,25
21-May-20,38,526,564,326,890,10,15,25
22-May-20,39,489,528,355,883,10,15,25
23-May-20,46,500,546,335,881,12,13,25
24-May-20,40,512,552,314,866,10,15,25
25-May-20,36,534,570,305,875,11,14,25
26 May 2020 (3),40,598,638,276,914,10,15,25
27-May-20,39,630,669,258,927,12,13,25
28-May-20,36,620,656,283,939,12,13,25
29-May-20,29,610,639,285,924,8,17,25
30-May-20,33,577,610,315,925,10,15,25
31-May-20,23,589,612,313,925,11,14,25
1 Jun 2020 (4),40,608,648,276,924,8,17,25
02-Jun-20,25,651,676,248,924,8,17,25
03-Jun-20,39,663,702,251,953,12,13,25
4 Jun 2020 (5),23,676,699,251,950,12,13,25
05-Jun-20,32,666,698,252,950,11,14,25
06-Jun-20,42,663,705,233,938,11,14,25
07-Jun-20,41,675,716,223,939,17,8,25
08-Jun-20,44,654,698,260,958,17,8,25
09-Jun-20,32,662,694,267,961,15,10,25
10-Jun-20,31,687,718,240,958,14,11,25
11-Jun-20,48,651,699,246,945,14,11,25
12-Jun-20,41,660,701,249,950,14,11,25
13-Jun-20,46,672,718,229,947,13,12,25
14-Jun-20,54,665,719,228,947,17,8,25
15-Jun-20,40,679,719,228,947,16,9,25
16-Jun-20,33,698,731,231,962,13,12,25
17-Jun-20,35,659,694,268,962,13,12,25
18-Jun-20,35,665,700,263,963,13,12,25
19-Jun-20,39,665,704,259,963,14,11,25
20-Jun-20,26,671,697,261,958,12,13,25
21-Jun-20,34,677,711,246,957,14,11,25
22-Jun-20,22,708,730,222,952,14,11,25
23-Jun-20,16,691,707,243,950,12,13,25
24-Jun-20,26,707,733,240,973,14,11,25
25-Jun-20,18,703,721,259,980,16,9,25
26-Jun-20,20,686,706,278,984,17,8,25
27-Jun-20,22,686,708,254,962,16,9,25
28-Jun-20,16,712,728,224,952,18,7,25
29-Jun-20,9,721,730,235,965,17,8,25
30-Jun-20,20,723,743,246,989,12,13,25
01-Jul-20,19,704,723,267,990,12,13,25
02-Jul-20,12,693,705,278,983,11,14,25
03-Jul-20,14,697,711,272,983,12,13,25
04-Jul-20,12,706,718,265,983,10,15,25
05-Jul-20,18,723,741,242,983,9,16,25
06-Jul-20,15,755,770,255,1025,11,14,25
07-Jul-20,31,740,771,231,1002,7,18,25
08-Jul-20,10,739,749,281,1030,7,18,25
09-Jul-20,13,723,736,294,1030,8,17,25
10 Jul 2020 (6),12,793,805,305,1110,9,16,25
11-Jul-20,16,778,794,316,1110,10,15,25
12-Jul-20,10,778,788,315,1103,12,13,25
13-Jul-20,13,804,817,291,1108,16,9,25
14-Jul-20,13,835,848,271,1119,17,8,25
15-Jul-20,14,790,804,315,1119,18,7,25
16-Jul-20,21,815,836,283,1119,22,5,27
17-Jul-20,19,828,847,263,1110,21,4,25
18-Jul-20,17,806,823,287,1110,22,5,27
19-Jul-20,15,827,842,268,1110,17,8,25
20-Jul-20,12,817,829,281,1110,18,9,27
21-Jul-20,13,917,930,179,1109,19,8,27
22-Jul-20,16,870,886,223,1109,21,6,27
23-Jul-20,17,896,913,196,1109,18,9,27
24-Jul-20,14,876,890,219,1109,17,10,27
25-Jul-20,18,844,862,246,1108,18,9,27
26-Jul-20,9,886,895,212,1107,19,8,27
27-Jul-20,16,879,895,226,1121,19,8,27
28-Jul-20,21,884,905,218,1123,20,7,27
29-Jul-20,20,869,889,234,1123,18,9,27
30-Jul-20,15,873,888,232,1120,20,6,26
31-Jul-20,10,888,898,222,1120,21,6,27
01-Aug-20,10,847,857,250,1107,21,6,27
02-Aug-20,8,862,870,237,1107,19,8,27
03-Aug-20,9,888,897,210,1107,19,8,27
04-Aug-20,4,888,892,215,1107,20,7,27
05-Aug-20,11,878,889,218,1107,22,10,32
06-Aug-20,22,869,891,216,1107,20,12,32
07-Aug-20,16,865,881,226,1107,18,14,32
08-Aug-20,16,887,903,204,1107,19,13,32
09-Aug-20,21,875,896,211,1107,17,15,32
10-Aug-20,21,895,916,191,1107,17,15,32
11-Aug-20,19,888,907,200,1107,19,13,32
12-Aug-20,15,900,915,198,1113,18,14,32
13-Aug-20,13,908,921,192,1113,21,11,32
14-Aug-20,17,875,892,221,1113,17,15,32
15-Aug-20,31,852,883,230,1113,17,17,34
16-Aug-20,16,879,895,218,1113,16,18,34
17-Aug-20,18,885,903,209,1112,16,18,34
18-Aug-20,14,873,887,225,1112,14,20,34
19-Aug-20,17,866,883,229,1112,18,16,34
20-Aug-20,24,863,887,225,1112,20,14,34
21-Aug-20,15,866,881,231,1112,18,16,34
22-Aug-20,10,804,814,284,1098,14,20,34
23-Aug-20,10,827,837,237,1074,14,20,34
24-Aug-20,12,865,877,197,1074,18,16,34
25-Aug-20,15,839,854,212,1066,19,15,34
26-Aug-20,20,849,869,194,1063,15,19,34
27-Aug-20,14,839,853,210,1063,17,17,34
28-Aug-20,19,833,852,211,1063,17,17,34
29-Aug-20,18,809,827,236,1063,17,15,32
30-Aug-20,17,836,853,206,1059,19,13,32
31-Aug-20,17,861,878,181,1059,19,12,31
01-Sep-20,11,880,891,172,1063,20,11,31
02-Sep-20,10,879,889,177,1066,12,19,31
03-Sep-20,16,868,884,181,1065,14,17,31
04-Sep-20,6,872,878,187,1065,22,9,31
05-Sep-20,14,869,883,182,1065,23,8,31
06-Sep-20,15,866,881,184,1065,21,10,31
07-Sep-20,14,892,906,167,1073,21,10,31
08-Sep-20,17,907,924,150,1074,21,10,31
09-Sep-20,21,899,920,107,1027,22,9,31
10-Sep-20,7,901,908,122,1030,25,6,31
11-Sep-20,17,876,893,138,1031,21,10,31
12-Sep-20,17,898,915,112,1027,19,13,32
13-Sep-20,11,933,944,85,1029,20,12,32
14-Sep-20,17,906,923,110,1033,18,14,32
15-Sep-20,14,917,931,110,1041,20,12,32
16-Sep-20,20,895,915,126,1041,19,13,32
17-Sep-20,10,902,912,129,1041,13,19,32
18-Sep-20,9,920,929,112,1041,11,21,32
19-Sep-20,10,906,916,125,1041,16,16,32
20-Sep-20,12,891,903,138,1041,17,15,32
21-Sep-20,15,930,945,96,1041,20,12,32
22-Sep-20,22,897,919,117,1036,14,18,32
23-Sep-20,20,901,921,121,1042,18,14,32
24-Sep-20,9,923,932,110,1042,18,14,32
25-Sep-20,16,910,926,112,1038,20,12,32
26-Sep-20,22,908,930,108,1038,20,12,32
27-Sep-20,12,936,948,90,1038,20,12,32
28-Sep-20,22,919,941,97,1038,20,12,32
29-Sep-20,20,934,954,84,1038,23,9,32
30-Sep-20,17,930,947,90,1037,23,9,32
01-Oct-20,18,908,926,111,1037,20,12,32
02-Oct-20,15,927,942,95,1037,20,12,32
03-Oct-20,16,947,963,74,1037,21,11,32
04-Oct-20,14,933,947,90,1037,19,13,32
05-Oct-20,14,923,937,100,1037,21,11,32
06-Oct-20,15,941,956,82,1038,18,14,32
07-Oct-20,14,918,932,107,1039,21,11,32
08-Oct-20,13,913,926,113,1039,17,15,32
09-Oct-20,10,902,912,127,1039,17,15,32
10-Oct-20,21,914,935,100,1035,13,19,32
11-Oct-20,13,929,942,97,1039,13,19,32
12-Oct-20,19,897,916,115,1031,17,15,32
13-Oct-20,21,934,955,76,1031,17,15,32
14-Oct-20,20,946,966,65,1031,18,14,32
15-Oct-20,24,903,927,104,1031,19,13,32
16-Oct-20,26,881,907,124,1031,19,13,32
17-Oct-20,27,921,948,85,1033,14,18,32
18-Oct-20,30,915,945,91,1036,16,16,32
19-Oct 2020 (7),30,880,910,132,1042,15,14,29
20-Oct-20,32,895,927,115,1042,19,13,32
21-Oct-20,43,915,958,84,1042,21,11,32
22-Oct-20,36,905,941,56,997,18,14,32
23-Oct-20,40,836,876,121,997,17,15,32
24-Oct-20,41,820,861,136,997,21,11,32
25-Oct-20,52,846,898,99,997,22,10,32
26-Oct-20,61,834,895,99,994,23,9,32
27-Oct-20,64,832,896,101,997,24,8,32
28-Oct-20,55,822,877,113,990,24,8,32
29-Oct-20,54,786,840,124,964,22,10,32
30-Oct-20,63,769,832,140,972,21,11,32
31-Oct-20,61,767,828,137,965,22,10,32
01-Nov-20,54,773,827,144,971,17,15,32
02-Nov-20,66,796,862,114,976,19,14,33
03-Nov-20,79,795,874,106,980,17,15,32
